time,vwind
01/01,-1.9235295
01/02,-1.6529412
01/03,-2.017647
01/04,-1.9588234
01/05,-1.5588236
01/06,-1.4117647
01/07,-1.3117647
01/08,-1.3235294
01/09,-1.7529413
01/10,-1.7352941
01/11,-1.8705882
01/12,-1.9
01/13,-2.1647058
01/14,-1.9941177
01/15,-1.4
01/16,-1.5588236
01/17,-1.2823529
01/18,-1.7294117
01/19,-2.0
01/20,-1.9941177
01/21,-1.95625
01/22,-2.3062499
01/23,-1.94375
01/24,-2.3875
01/25,-2.56875
01/26,-2.94375
01/27,-2.80625
01/28,-3.2875
01/29,-2.79375
01/30,-2.46875
01/31,-2.51875
02/01,-2.45625
02/02,-2.66875
02/03,-2.375
02/04,-1.9875
02/05,-1.3705882
02/06,-1.3529412
02/07,-1.6470588
02/08,-1.5647058
02/09,-1.7411765
02/10,-1.917647
02/11,-1.9294118
02/12,-2.0058825
02/13,-1.8588235
02/14,-1.9294118
02/15,-1.8941177
02/16,-1.4764706
02/17,-1.7058823
02/18,-2.0764706
02/19,-1.8941177
02/20,-2.3235295
02/21,-2.1411762
02/22,-1.9705882
02/23,-1.5470588
02/24,-1.8764706
02/25,-2.3352942
02/26,-2.7
02/27,-2.3
02/28,-2.447059
02/29,-1.3666667
03/01,-1.9705882
03/02,-1.7529411
03/03,-2.0235295
03/04,-1.8941177
03/05,-2.34375
03/06,-2.61875
03/07,-3.06875
03/08,-3.21875
03/09,-2.90625
03/10,-2.8875
03/11,-3.4125
03/12,-2.65
03/13,-2.1375
03/14,-2.14375
03/15,-1.99375
03/16,-1.5625
03/17,-1.44375
03/18,-1.8375001
03/19,-0.90625
03/20,-0.8125
03/21,-0.9875
03/22,-1.21875
03/23,-1.1437501
03/24,-0.41875
03/25,-0.9875
03/26,-0.81875
03/27,-0.72499996
03/28,-0.84117645
03/29,-0.45294118
03/30,-0.87647057
03/31,-0.2647059
04/01,-0.88823533
04/02,-0.6647059
04/03,-0.45882353
04/04,-0.7352941
04/05,-1.0882353
04/06,-1.117647
04/07,-1.8
04/08,-1.2470587
04/09,-0.088235304
04/10,0.24117647
04/11,0.18125002
04/12,-0.8
04/13,-0.28125003
04/14,0.29999998
04/15,-0.65624994
04/16,-1.06875
04/17,-0.95625
04/18,-0.75625
04/19,-0.38750002
04/20,-0.33125
04/21,0.375
04/22,-0.1375
04/23,0.0062500164
04/24,-0.1875
04/25,0.2125
04/26,0.35000002
04/27,-0.3125
04/28,-0.18124998
04/29,0.112500004
04/30,0.175
05/01,-0.075
05/02,-0.08750001
05/03,-0.08125
05/04,0.75624996
05/05,0.7875
05/06,1.00625
05/07,0.53125
05/08,1.075
05/09,0.38125
05/10,0.80625
05/11,0.65625
05/12,1.75625
05/13,1.125
05/14,1.15
05/15,1.44375
05/16,1.4812499
05/17,1.24375
05/18,0.65
05/19,-0.3
05/20,0.4
05/21,0.5625
05/22,0.8066667
05/23,1.2333333
05/24,1.0600001
05/25,0.78000003
05/26,1.1666666
05/27,1.52
05/28,0.8333333
05/29,0.58
05/30,0.82
05/31,0.94666666
06/01,1.9666667
06/02,1.78
06/03,1.1666666
06/04,1.3933334
06/05,2.08
06/06,1.76
06/07,2.6214287
06/08,2.0666666
06/09,1.8533332
06/10,1.78
06/11,2.62
06/12,2.9
06/13,2.68
06/14,1.5133334
06/15,2.0466666
06/16,1.86
06/17,1.7266667
06/18,2.16
06/19,2.46
06/20,2.4466667
06/21,2.7066665
06/22,2.4333334
06/23,1.5375
06/24,1.4625
06/25,0.5625
06/26,1.00625
06/27,0.75625
06/28,1.2625
06/29,1.0933334
06/30,1.9625
07/01,2.45625
07/02,2.91875
07/03,3.54375
07/04,2.73125
07/05,2.8
07/06,2.4933333
07/07,1.5466666
07/08,1.98
07/09,1.5866666
07/10,1.7357143
07/11,1.6999999
07/12,1.5466667
07/13,2.5800002
07/14,3.46
07/15,3.54
07/16,3.21875
07/17,3.425
07/18,3.15
07/19,2.69375
07/20,2.525
07/21,2.73125
07/22,2.53125
07/23,3.00625
07/24,2.35625
07/25,2.0642858
07/26,2.6214287
07/27,2.6466668
07/28,3.3266668
07/29,2.76
07/30,2.5533333
07/31,3.4266667
08/01,3.6
08/02,2.6066666
08/03,2.0533333
08/04,1.5625
08/05,2.28125
08/06,3.1187499
08/07,2.46875
08/08,2.35625
08/09,3.05625
08/10,3.75625
08/11,3.3875
08/12,3.1000001
08/13,3.0529413
08/14,2.8875
08/15,3.6625
08/16,3.9
08/17,3.59375
08/18,3.89375
08/19,4.1875
08/20,3.84375
08/21,2.725
08/22,2.525
08/23,3.1875
08/24,2.9937499
08/25,3.111765
08/26,2.188889
08/27,2.9166667
08/28,2.8833334
08/29,2.9055557
08/30,3.1944444
08/31,2.6222222
09/01,2.7166667
09/02,3.2388887
09/03,3.25
09/04,2.7055557
09/05,2.5
09/06,2.5666666
09/07,3.3823528
09/08,3.3666666
09/09,2.4888887
09/10,2.2470589
09/11,2.8611112
09/12,2.9944446
09/13,3.3833334
09/14,2.85
09/15,2.2666667
09/16,2.0444443
09/17,1.8555557
09/18,2.1333334
09/19,1.9222221
09/20,2.4555557
09/21,2.6833334
09/22,2.711111
09/23,2.188889
09/24,2.4777777
09/25,1.6611111
09/26,1.2611111
09/27,1.4777778
09/28,2.25
09/29,1.4222223
09/30,1.0777777
10/01,2.0944445
10/02,1.938889
10/03,1.7333332
10/04,1.8944443
10/05,0.7055556
10/06,0.38333333
10/07,1.0833334
10/08,0.8888889
10/09,1.738889
10/10,2.0888891
10/11,1.9722222
10/12,1.6833333
10/13,1.2111111
10/14,0.98888886
10/15,1.3444445
10/16,1.0833334
10/17,0.9111111
10/18,0.70555556
10/19,0.9444444
10/20,0.9166667
10/21,1.3777778
10/22,1.4294118
10/23,0.6058823
10/24,0.10000002
10/25,0.8352941
10/26,1.2705882
10/27,1.0294118
10/28,0.8882353
10/29,1.1999999
10/30,1.2235295
10/31,0.8117647
11/01,0.25882354
11/02,0.6647058
11/03,0.07058825
11/04,-0.15294118
11/05,0.02352941
11/06,0.10588234
11/07,0.7647059
11/08,0.1529412
11/09,0.59411764
11/10,0.8058824
11/11,1.0764705
11/12,1.1882353
11/13,0.30588236
11/14,0.035294108
11/15,-0.25882357
11/16,-0.26250002
11/17,-0.69375
11/18,0.60625
11/19,0.59375
11/20,0.19375
11/21,-0.26875
11/22,0.50625
11/23,1.2882353
11/24,0.59999996
11/25,0.37058824
11/26,0.29999998
11/27,-0.78823525
11/28,-0.9941176
11/29,-0.32352945
11/30,-0.39411762
12/01,-0.6647059
12/02,0.2588235
12/03,0.05882353
12/04,-0.5058824
12/05,-0.15294117
12/06,0.1764706
12/07,-0.39999995
12/08,-0.9117647
12/09,-0.5764706
12/10,-0.36470586
12/11,-0.44117647
12/12,-0.33529413
12/13,-0.3352941
12/14,-0.023529403
12/15,0.31176472
12/16,0.6722222
12/17,-0.42222223
12/18,-0.31666666
12/19,0.28888887
12/20,-0.37222224
12/21,-0.67777777
12/22,-1.4055555
12/23,-1.0611111
12/24,-0.78333336
12/25,-1.3764706
12/26,-1.49375
12/27,-1.38125
12/28,-0.95
12/29,-0.80625
12/30,-1.4294118
12/31,-2.1000001
